station,lat,lon,nearest_station,dis_from_nearest_station,capacity,station_number
12th & Army Navy Dr,38.86306608,-77.05187478,Eads St & 12th St S,0.2112772445655238,17.0,31008
S Walter Reed Dr & 8th St S,38.86578938,-77.08767285,Walter Reed Dr & 8th St S,0.0414556489880568,15.0,31096
McKinley St & Connecticut Ave NW,38.96500662,-77.07555168,Connecticut Ave & McKinley St NW,0.0616879084665664,19.0,31315
Crystal Dr & Potomac Ave,38.8485242,-77.05153298,Crystal Dr & 27th St S,0.005637091785159,12.0,31925
Aurora Hills Community Ctr/18th & Hayes St,38.8577832,-77.05925892,Aurora Hills Cmty Ctr / 18th St & S Hayes St,0.0222834163931752,12.0,31004
Union Market/6th St & Neal Pl NE,38.90866984,-76.99738528,Union Market,0.0882219977970466,23.0,31517
Eads & 22nd St S,38.85436047,-77.05345403,Eads St & 22nd St S,0.0050283118495598,15.0,31013
Crystal City Metro / 18th & Bell St,38.85791038,-77.05172988,Crystal City Metro / 18th St & S Bell St,0.013731237561205,19.0,31007
Virginia Square Metro / N Monroe St & 9th St N,38.88273088,-77.1029333,Virginia Square Metro / Monroe St & 9th St N,0.0205949934259813,19.0,31024
Washington-Lee High School / N Stafford St & Generals Way,38.88835683,-77.11042214,Washington-Liberty High School / N Stafford St & Generals Way,0.0565962809247375,15.0,31920
Pentagon City Metro / 12th & S Hayes St,38.86057854,-77.05835941,Pentagon City Metro / 12th St & S Hayes St,0.2360087643364264,19.0,31005
S Glebe & Potomac Ave,38.84306403,-77.05020857,S Glebe Rd & Potomac Ave,0.0504074395302384,11.0,31010
Long Bridge Dr & 6th St S,38.86582879,-77.04975198,Long Bridge Park / Long Bridge Dr & 6th St S,0.03820058164853,15.0,31090
Ripley & Bonifant St,38.99351836,-77.02939061,Silver Spring Transit Center - Top Level,0.1027335461939926,15.0,32034
Walter Reed Community Center / Walter Reed Dr & 16th St S,38.85806415,-77.08622998,Columbia Pike & S Walter Reed Dr,0.4930827899570276,12.0,31054
S Oakland St & Columbia Pike,38.86049605,-77.09572202,Columbia Pike & S Oakland St,0.0356808380335079,11.0,31058
N Pershing Dr & Wayne St,38.88087535,-77.08567947,Pershing Dr & Wayne St,0.0307725415817202,11.0,31065
Key Blvd & N Quinn St,38.89625381,-77.07841155,Wilson Blvd & N Quinn St,0.2513188370284776,17.0,31027
18th & Eads St.,38.85757073,-77.05306114,Crystal City Metro / 18th St & S Bell St,0.1204483360550239,19.0,31001
S Kenmore & 24th St S,38.8485775,-77.08481475,Kenmore St & 24th St S,0.0153178012290903,11.0,31061
S Troy St & 26th St S,38.8479457,-77.07527426,Troy St & 26th St S,0.0147499305114995,11.0,31056
Nebraska Ave/AU East Campus,38.93537667,-77.08660148,American University East Campus,0.1127329036729211,19.0,31320
26th & S Clark St,38.8510482,-77.05173681,Clark St & 26th St S,0.0430268083571814,12.0,31012
Silver Spring Metro/Colesville Rd & Wayne Ave,38.99390459,-77.03118215,Silver Spring Transit Center - Top Level,0.0714969691235646,15.0,32012
Crabbs Branch Way & Calhoun Pl,39.10800414,-77.15203281,Montgomery College / W Campus Dr & Mannakee St,1.499191294827314,21.0,32020
Lee Hwy & N Monroe St,38.89599361,-77.10429044,Langston Blvd & N Monroe St,0.0575081691655157,15.0,31092
Spring St & Second Ave,38.99806601,-77.03442069,Spring St & 2nd Ave,0.0457510591726438,15.0,32050
Washington Adventist U / Flower Ave & Division St,38.98614251,-77.00065318,WAU / Flower Ave & Division St,0.0864500261626333,15.0,32049
37th & Ely Pl SE / Fort Dupont Ice Arena,38.88304924,-76.94942889,37th & Ely Pl SE,0.0250920206741657,15.0,31715
31st & Woodrow St S,38.83769289,-77.09503374,31st St & S Woodrow St,0.135453375150807,11.0,31072
Blueridge Ave & Elkins St,39.04314495,-77.05000145,Blueridge Ave & Elkin St,0.0056741776124324,15.0,32073
Arlington Blvd & S George Mason Dr/NFATC,38.86790851,-77.10168061,Arlington Blvd & S George Mason Dr,0.298541091169336,15.0,31078
S George Mason Dr & Four Mile Run,38.85282583,-77.10335281,S George Mason & Four Mile Run Dr,0.1577981374345715,11.0,31063
Radford & Osage St,38.82842813,-77.08606448,Radford St & Osage St,0.0035063704701116,23.0,31908
Montgomery College/W Campus Dr & Mannakee St,39.09566638,-77.15907093,Montgomery College / W Campus Dr & Mannakee St,0.0015006287950737,21.0,32023
Rosedale Rec Center / 17th & Gales St NE,38.89779152,-76.97962788,Rosedale Rec Center,0.0025617334647413,19.0,31658
Broschart & Blackwell Rd,39.10191324,-77.2003407,Medical Center Dr & Key West Ave,0.3608568875989181,15.0,32030
Wheaton Metro/Georgia Ave & Reedie Dr,39.03884229,-77.05026727,Wheaton Metro / Georgia Ave & Reedie Dr,0.0794798772641286,19.0,32062
Dennis & Amherst Ave,39.02564247,-77.04484422,Dennis Ave & Amherst Ave,0.0367243474424419,15.0,32022
Taft St & E Gude Dr,39.09437675,-77.13247768,Frederick Ave & Horners Ln,1.10022490868713,9.0,32031
14th & U St NW,38.91720586,-77.03196459,14th & V St NW,0.0641617232819959,31.0,31101
18th St & S Eads St,38.85728845,-77.0531749,Crystal City Metro / 18th St & S Bell St,0.1394270958190042,19.0,31001
Walter Reed Dr & 16th St S,38.85685187,-77.0882965,Columbia Pike & S Walter Reed Dr,0.6437541015338635,12.0,31054
Shirlington Transit Center / Quincy St & Randolph St,38.84007909,-77.08713664,S Randolph St & Campbell Ave,0.146985773810673,15.0,31076
Crabbs Branch Way & Redland Rd,39.12114156,-77.15841292,Needwood Rd & Eagles Head Ct,0.2778351604661635,15.0,32015
Rockville Pike & Meeting St,39.05074203,-77.1151914,Rockville Pike & Old Georgetown Rd,0.1692266611278384,15.0,32083
