X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0023074403427,38.8851052018401,30218127,38.8851,-77.0023,3rd & D St SE,classic,56,active,2022/04/16 04:34:42+00,2,0,6,0,3,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9862068401411,38.8803119481271,30218128,38.8803,-76.9862,Potomac & Pennsylvania Ave SE,classic,57,active,2022/04/16 04:19:40+00,10,0,4,2,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9879120997594,38.8829245700143,30218129,38.882915,-76.987907,13th & E St SE,classic,58,active,2022/04/16 04:24:41+00,7,0,8,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0386974752182,38.9121058865229,30218130,38.9121,-77.0387,17th & Corcoran St NW,classic,59,active,2022/04/16 04:24:40+00,3,0,16,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0638968778675,38.9445607922833,30218131,38.944551,-77.063896,Van Ness Metro / UDC,classic,60,active,2022/04/16 04:39:42+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0135041870932,38.9126069734069,30218132,38.9126,-77.0135,Florida Ave & R St NW,classic,61,active,2022/04/16 04:34:41+00,9,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-76.9953001493936,38.8792046356292,30218133,38.8792,-76.9953,8th & Eye St SE / Barracks Row,classic,62,active,2022/04/16 04:34:42+00,6,0,5,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0871682131473,38.938744413431,30218134,38.938736,-77.087171,Ward Circle / American University,classic,63,active,2022/04/16 06:29:28+00,14,0,1,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0727577332246,38.9348897103584,30218135,38.934881,-77.072755,Wisconsin Ave & Newark St NW,classic,64,active,2022/04/16 04:39:42+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
-77.0328219854473,38.9477805970972,30218136,38.947774,-77.032818,14th St Heights / 14th & Crittenden St NW,classic,65,active,2022/04/16 04:39:43+00,7,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",42,2022/04/16 06:30:46+00,,"Washington, DC"
